round_epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,batch_size,dropout,epochs,first_neuron,last_activation,loss,lr,optimizer,weight_regulizer
40,2.772408962249756,0.3385714292526245,2.783984661102295,0.3355555534362793,2,0,40,256,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.4198195934295654,0.6885714530944824,2.560955762863159,0.5688889026641846,2,0,40,256,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1152255535125732,0.9628571271896362,2.4535024166107178,0.6311110854148865,2,0,40,256,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.151158094406128,0.927142858505249,2.4959356784820557,0.5833333134651184,2,0,40,256,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.6176719665527344,0.453809529542923,2.642000675201416,0.4122222363948822,2,0,40,256,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.2839102745056152,0.8176190257072449,2.4833829402923584,0.6044444441795349,2,0,40,256,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1574370861053467,0.9238095283508301,2.5408377647399902,0.6044444441795349,2,0,40,256,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.1712148189544678,0.8919047713279724,2.4720778465270996,0.5711110830307007,2,0,40,256,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.843623638153076,0.34333333373069763,2.8513307571411133,0.33222222328186035,2,0,40,128,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.490304946899414,0.6261904835700989,2.593271493911743,0.5477777719497681,2,0,40,128,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.114225387573242,0.9642857313156128,2.45794939994812,0.6255555748939514,2,0,40,128,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.1254191398620605,0.9528571367263794,2.4918582439422607,0.5866666436195374,2,0,40,128,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.693906545639038,0.3395238220691681,2.713038682937622,0.32777777314186096,2,0,40,128,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.384909152984619,0.700952410697937,2.521083354949951,0.5455555319786072,2,0,40,128,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.158334493637085,0.9223809242248535,2.54257869720459,0.6133333444595337,2,0,40,128,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.1663784980773926,0.8976190686225891,2.462688684463501,0.5744444727897644,2,0,40,128,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.8773305416107178,0.3261904716491699,2.884032726287842,0.31555554270744324,2,0.4,40,256,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.499398946762085,0.5971428751945496,2.5915114879608154,0.5333333611488342,2,0.4,40,256,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.121821880340576,0.9604762196540833,2.444899797439575,0.6377778053283691,2,0.4,40,256,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.1480400562286377,0.9309523701667786,2.461071014404297,0.6133333444595337,2,0.4,40,256,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.7008697986602783,0.3623809516429901,2.718127727508545,0.3422222137451172,2,0.4,40,256,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.3820841312408447,0.7052381038665771,2.5169718265533447,0.5577777624130249,2,0.4,40,256,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.166699171066284,0.9190475940704346,2.546569347381592,0.6177777647972107,2,0.4,40,256,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.1782941818237305,0.8980952501296997,2.4835140705108643,0.5733333230018616,2,0.4,40,256,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.9498918056488037,0.3709523677825928,2.953582286834717,0.371111124753952,2,0.4,40,128,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.5517287254333496,0.5723809599876404,2.621391773223877,0.5255555510520935,2,0.4,40,128,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1458637714385986,0.9419047832489014,2.4516923427581787,0.6422222256660461,2,0.4,40,128,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.141634702682495,0.9361904859542847,2.463275909423828,0.6188889145851135,2,0.4,40,128,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.7977283000946045,0.35285714268684387,2.812218189239502,0.34555554389953613,2,0.4,40,128,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.485558271408081,0.5980952382087708,2.5716540813446045,0.5055555701255798,2,0.4,40,128,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1789472103118896,0.9080952405929565,2.54413104057312,0.6188889145851135,2,0.4,40,128,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.1821508407592773,0.8919047713279724,2.4746503829956055,0.6044444441795349,2,0.4,40,128,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.8196897506713867,0.3390476107597351,2.8259458541870117,0.3377777636051178,3,0,40,256,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.4708733558654785,0.6361904740333557,2.5830562114715576,0.554444432258606,3,0,40,256,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1229329109191895,0.9561904668807983,2.454803943634033,0.6299999952316284,3,0,40,256,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.128225564956665,0.949999988079071,2.5034921169281006,0.5744444727897644,3,0,40,256,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.6680047512054443,0.38333332538604736,2.686774730682373,0.3633333444595337,3,0,40,256,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.353994131088257,0.7457143068313599,2.513636827468872,0.5633333325386047,3,0,40,256,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.135258674621582,0.9447619318962097,2.524981737136841,0.6277777552604675,3,0,40,256,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.1391408443450928,0.9242857098579407,2.4366295337677,0.5877777934074402,3,0,40,256,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.8905160427093506,0.3557142913341522,2.8953452110290527,0.35333332419395447,3,0,40,128,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.5293052196502686,0.5895237922668457,2.6136019229888916,0.5299999713897705,3,0,40,128,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.12585711479187,0.9547619223594666,2.46144962310791,0.6222222447395325,3,0,40,128,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.1275417804718018,0.9504761695861816,2.485567331314087,0.5911111235618591,3,0,40,128,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.757204532623291,0.3633333444595337,2.7736239433288574,0.3566666543483734,3,0,40,128,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.4505834579467773,0.6490476131439209,2.558990716934204,0.5144444704055786,3,0,40,128,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1056840419769287,0.9785714149475098,2.5276870727539062,0.6277777552604675,3,0,40,128,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.1364994049072266,0.9328571557998657,2.4609761238098145,0.5799999833106995,3,0,40,128,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.9148833751678467,0.33476191759109497,2.9189388751983643,0.3333333432674408,3,0.4,40,256,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
